url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://hospitals.clalit.co.il/kaplan/he/gen_info/kaplan_news/Pages/outstanding-doctors.aspx,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,,doctorPage,teamPage,0.82, https://hospitals.clalit.co.il/kaplan/he/gen_info/kaplan_news/Pages/outstanding-doctors.aspx
https://hospitals.clalit.co.il/kaplan/he/gen_info/Pages/covid_info4family.aspx,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,ביקור רופאים במחלקה - מידע למטופל,doctorPage,teamPage,0.82,ביקור רופאים במחלקה - מידע למטופל https://hospitals.clalit.co.il/kaplan/he/gen_info/Pages/covid_info4family.aspx
https://hospitals.clalit.co.il/kaplan/he/med_units/ent/Pages/default.aspx,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,"אף אוזן גרון
 צוות המחלקה מטפל במחלות כירורגיות ומחלות שאינן כירורגיות, ובמטופלים בכל הגילאים. למחלקה מרפאות חוץ שעוסקות בכל התחומים ובחדרי ניתוח. הצוות עובד בשיתוף פעולה רב מקצועי עם היחידות השונות במרכז הרפואי.",teamPage,teamPage,0.82,"אף אוזן גרון
 צוות המחלקה מטפל במחלות כירורגיות ומחלות שאינן כירורגיות, ובמטופלים בכל הגילאים. למחלקה מרפאות חוץ שעוסקות בכל התחומים ובחדרי ניתוח. הצוות עובד בשיתוף פעולה רב מקצועי עם היחידות השונות במרכז הרפואי. https://hospitals.clalit.co.il/kaplan/he/med_units/ent/Pages/default.aspx"
https://hospitals.clalit.co.il/kaplan/he/academy_and_research/Documents/Kaplan_Medical_Staff_Publications_2019.pdf,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,פרסומי מחקרים לפי חודשים 2019,staffPage,teamPage,0.65,פרסומי מחקרים לפי חודשים 2019 https://hospitals.clalit.co.il/kaplan/he/academy_and_research/Documents/Kaplan_Medical_Staff_Publications_2019.pdf
https://hospitals.clalit.co.il/kaplan/he/med_units/cardiology/Pages/default.aspx,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,"קרדיולוגיה
 מהמובילים בתחום רפואת הלב – טיפול מותאם אישית לצד טכנולוגיה חדשנית בבניין האשפוז החדש. במערך מומחים המנוסים בצנתורי לב בהדמיה תלת מימד, השתלת מסתמים בצנתור, יחידת קוצבים מהמובילות בארץ, מרפאות ייחודיות ושימוש בטכנולוגיות חדשות מהמתקדמות בעולם.",departmentPage,inlineStaff,0.65,"קרדיולוגיה
 מהמובילים בתחום רפואת הלב – טיפול מותאם אישית לצד טכנולוגיה חדשנית בבניין האשפוז החדש. במערך מומחים המנוסים בצנתורי לב בהדמיה תלת מימד, השתלת מסתמים בצנתור, יחידת קוצבים מהמובילות בארץ, מרפאות ייחודיות ושימוש בטכנולוגיות חדשות מהמתקדמות בעולם. https://hospitals.clalit.co.il/kaplan/he/med_units/cardiology/Pages/default.aspx"
https://hospitals.clalit.co.il/kaplan/he/med_units/urology/Pages/default.aspx,https://hospitals.clalit.co.il/kaplan/he/Pages/default.aspx,"אורולוגיה
 המחלקה האורולוגית מוכרת כאחד ממוקדי המצוינות הרפואית במרכז הרפואי קפלן. רופאי המחלקה מטפלים במגוון נושאים רפואיים, כגון: באבנים בדרכי השתן, מחלות שונות בדרכי השתן, הפרעות בתפקוד המיני ועוד, תוך שימוש בטכנולוגיות והשיטות החדשניות ביותר.",departmentPage,inlineStaff,0.65,"אורולוגיה
 המחלקה האורולוגית מוכרת כאחד ממוקדי המצוינות הרפואית במרכז הרפואי קפלן. רופאי המחלקה מטפלים במגוון נושאים רפואיים, כגון: באבנים בדרכי השתן, מחלות שונות בדרכי השתן, הפרעות בתפקוד המיני ועוד, תוך שימוש בטכנולוגיות והשיטות החדשניות ביותר. https://hospitals.clalit.co.il/kaplan/he/med_units/urology/Pages/default.aspx"
