,,,,,,
,גליון,קרטריון, הסבר,מקור,קישור(כן/לא),פעולות עבור מידע זה
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד חצי שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה עד 6 חודשים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד שנה,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין 6 ל12 חודשים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו עד שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה בין שנה לשנתיים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,מספר המתקבלים שדיווחו שמצאו אחרי שנתיים,"מספר הרופאים שדיווחו שהחלו התמחות בתחום זה יותר משנתיים אחרי הסטאז׳ במחלקה זו. אין חובת דיווח, לכן נתון חלקי.",משרד הבריאות,,
,Master_Dept,שכר_לא_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שאינו מוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות לפריפריה
,Master_Dept,שכר_פריפריה,"שכר למתמחה ב100%, אשר מבצע 4 תורנוית בחודש, בבית חולים ציבורי של המדינה שמוגדר בפריפריה ",סימולטור שכר של הר׳׳י,,להשוות למרכז
,Master_Dept,פער_שכר_פריפריה,חישוב תוספת השכר הממוצעת בפריפריה,סימולטור שכר של הר׳׳י,,גרף השוואה
,Master_Dept,מספר_מתמחים,מספר המתמחים הפעילים בהתמחות במחלקה זו,משרד הבריאות,,נתון חשוב להדגיש
,Master_Dept,מספר נשים,מספר הנשים הפעילות בהתמחות במחלקה זו,משרד הבריאות,,"לא מוצג, רק מסייע בחישוב"
,Master_Dept,אחוז_נשים,שיעור הנשים מתוך כלל המתמחים במחלקה,משרד הבריאות,,מוצג כגרף דונאט
,Master_Dept,מספר גברים,מספר הגברים הפעילות בהתמחות במחלקה זו,משרד הבריאות,,"לא מוצג, רק מסייע בחישוב"
,Master_Dept,אחוז_גברים,שיעור הגברים מתוך כלל המתמחים במחלקה,משרד הבריאות,,מוצג כגרף דונאט
,Master_Dept,מעבר_שלב_א,אחוז העוברים את בחינת שלב א' מ2020 בתחום ההתמחות,הר׳׳י,,"להציג מול ממוצע כלל ההתמחויות, לציין בסימן שמדובר בנתון ארצי(כלומר לא מחלקתי)"
,Master_Dept,מעבר_שלב_ב,אחוז העוברים את בחינת שלב ב' מ2020 בתחום ההתמחות,הר׳׳י,,"להציג מול ממוצע כלל ההתמחויות, לציין בסימן שמדובר בנתון ארצי(כלומר לא מחלקתי)"
,Master_Dept,מספר פרסומים מחלקתי,מספר הפרסומים המדעיים שאותרו עבור רופאי המחלקה בחמש השנים האחרונות באמצעות OpenAlex.,OpenAlex,,
,Master_Dept,מדד_שחיקה,מדד השחיקה הממוצע של מתמחים בתחום ההתמחות ברמה הארצית. ממוצע כלל ההתמחויות עומד על 4.5.,משרד הבריאות,,"להציג מול ממוצע ארצי (4.5), להדגיש שמדובר על נתון ארצי(כלומר לא מחלקתי)"
,Master_Dept,מספר מתמחים חדשים 2020,,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2020 במחלקה זו,משרד הבריאות,להציג בגרף רב-שנתי
,Master_Dept,מספר מתמחים חדשים 2021,,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2021 במחלקה זו,משרד הבריאות,גרף
,Master_Dept,מספר מתמחים חדשים 2022,,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2022 במחלקה זו,משרד הבריאות,גרף
,Master_Dept,מספר מתמחים חדשים 2023,,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2023 במחלקה זו,משרד הבריאות,גרף
,Master_Dept,מספר מתמחים חדשים 2024,,מספר מתמחים חדשים שהחלו התמחות בתחום בשנת 2024 במחלקה זו,משרד הבריאות,גרף
,Master_Dept,צפי תקנים חדשים ב2026,,"מספר התקנים הצפויים להיפתח במחלקה, נתון משוער ע׳׳פ התקנים שנפתחו בשנים הקודמות.",,"נתון חשוב, יש להדגיש"
,Master_Dept,מספר אלקטיביסטים חציוני,,"מספר הסטאז׳רים שביצעו אלקטיב במחלקה, יכול להצביע על ביקוש של המחלקה להתמחות.",משרד הבריאות,בינתיים אין לי את הנתון הזה
